UNIPROT_ACCESSION	Name	Species
O28058	Uncharacterized protein AF_2225	Archaeoglobus fulgidus
Q220S7	Anhydro-N-acetylmuramic acid kinase	Rhodoferax ferrireducens
Q6A8L4	Histidinol-phosphate aminotransferase	Propionibacterium acnes
Q68FS6	pyridine nucleotide-disulphide oxidoreductase domain 1	Rattus norvegicus
P52786	cytochrome P-450 ib	Oryctolagus cuniculus
P51570	galactokinase 1	Homo sapiens
Q7SZ73	hypothetical protein MGC64561	Xenopus laevis
P08582	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	Homo sapiens
Q9Y5R4	HemK methyltransferase family member 1	Homo sapiens
A9BNJ5	Ribonuclease 3	Delftia acidovorans
P39057	Dynein beta chain, ciliary	Anthocidaris crassispina
Q80T79	CUB and Sushi multiple domains 3	Mus musculus
O15439	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	Homo sapiens
Q6A7W0	Tyrosyl-tRNA synthetase	Propionibacterium acnes
Q28DB5	glutamic pyruvate transaminase (alanine aminotransferase) 2	Xenopus (Silurana) tropicalis
Q5FVR2	thymidine phosphorylase	Rattus norvegicus
Q24247	multiple edematous wings	Drosophila melanogaster
Q95M12	legumain	Bos taurus
P97789	5'-3' exoribonuclease 1	Mus musculus
Q6QHF9	polyamine oxidase (exo-N4-amino)	Homo sapiens
Q8K2R5	zinc finger protein 668	Mus musculus
Q58DL5	breast cancer anti-estrogen resistance 3	Bos taurus
Q07646	mesoderm specific transcript	Mus musculus
Q8IYD8	Fanconi anemia, complementation group M	Homo sapiens
P25867	effete	Drosophila melanogaster
P62594	Beta-lactamase TEM	Salmonella enterica
Q0P5B3	LIM domain only 1 (rhombotin 1)	Bos taurus
Q13231	chitinase 1 (chitotriosidase)	Homo sapiens
Q291L4	Cysteinyl-tRNA synthetase, cytoplasmic	Drosophila pseudoobscura
P55935	Ribosomal protein S9	Drosophila melanogaster
A2BGR3	si:ch211-278b8.3	Danio rerio
P51037	Citrate synthase, chromosomal	Rhizobium tropici
P91268	Probable peptidyl-alpha-hydroxyglycine alpha-amidating lyase F21F3.1	Caenorhabditis elegans
P49327	fatty acid synthase	Homo sapiens
Q91XQ5	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	Mus musculus
P32320	cytidine deaminase	Homo sapiens
Q6A5D0	Uronate isomerase	Propionibacterium acnes
Q9CXF4	TBC1 domain family, member 15	Mus musculus
Q07130	UDP-glucose pyrophosphorylase 2	Bos taurus
Q82S73	Peptide chain release factor 3	Nitrosomonas europaea
Q9NRC6	spectrin, beta, non-erythrocytic 5	Homo sapiens
Q5ZL91	integrator complex subunit 7	Gallus gallus
Q23023	UNCoordinated	Caenorhabditis elegans
P10533	Serine/threonine-protein kinase-transforming protein Rmil	Avian retrovirus IC10
A2AVA0	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	Mus musculus
A7Y2W8	glycine transporter 1	Xenopus laevis
Q8NWV5	Catalase	Staphylococcus aureus
P83941	similar to transcription elongation factor B (SIII), polypeptide 1; transcription elongation factor B (SIII), polypeptide 1	Rattus norvegicus
Q92504	solute carrier family 39 (zinc transporter), member 7	Homo sapiens
Q6DI40	tetratricopeptide repeat domain 33	Danio rerio
A1W8Z4	Translation initiation factor IF-2	Acidovorax sp. JS42
Q924Z6	exportin 6	Mus musculus
Q6A6A3	Adenylosuccinate synthetase	Propionibacterium acnes
Q8J0I4	Sulfate adenylyltransferase	Mucor circinelloides
Q8WTR2	dual specificity phosphatase 19	Homo sapiens
O94762	RecQ protein-like 5	Homo sapiens
Q5RGJ8	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	Danio rerio
Q6AXL8	zinc finger, matrin type 5	Danio rerio
Q5FWS6	kazrin	Rattus norvegicus
Q6AY78	solute carrier family 22, member 18	Rattus norvegicus
Q60519	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	Mus musculus
Q5JCS6	signal-induced proliferation-associated 1 like 2	Rattus norvegicus
Q6A7L2	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase	Propionibacterium acnes
O75467	zinc finger protein 324	Homo sapiens
Q9WTP7	adenylate kinase 3	Mus musculus
Q9CD72	ATP-dependent DNA helicase pcrA	Mycobacterium leprae
Q9NRR4	ribonuclease type III, nuclear	Homo sapiens
Q8XWD0	Tyrosine recombinase xerD	Ralstonia solanacearum
B1AK53	espin	Homo sapiens
Q2TAQ1	hypothetical protein MGC131208	Xenopus laevis
Q9QXL2	kinesin family member 21A	Mus musculus
Q6A998	Heat-inducible transcription repressor hrcA	Propionibacterium acnes
Q969Q5	RAB24, member RAS oncogene family	Homo sapiens
Q9UPI3	feline leukemia virus subgroup C cellular receptor family, member 2	Homo sapiens
Q6A5X5	Glucose-6-phosphate isomerase	Propionibacterium acnes
Q6A6L2	30S ribosomal protein S12	Propionibacterium acnes
Q6AB26	UPF0271 protein PPA0282	Propionibacterium acnes
Q6A7W9	Probable inorganic polyphosphate/ATP-NAD kinase	Propionibacterium acnes
P49916	ligase III, DNA, ATP-dependent	Homo sapiens
Q6AA78	Arginine deiminase	Propionibacterium acnes
Q17R14	myosin ID	Bos taurus
Q6A9C3	L-lactate dehydrogenase	Propionibacterium acnes
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	Drosophila melanogaster
P11349	Respiratory nitrate reductase 1 beta chain	Escherichia coli
Q24342	fringe	Drosophila melanogaster
Q6AAT0	Cysteinyl-tRNA synthetase	Propionibacterium acnes
Q8C436	hypothetical protein LOC100048447; predicted gene 71	Mus musculus
P22304	iduronate 2-sulfatase	Homo sapiens
Q6AA77	Ornithine carbamoyltransferase	Propionibacterium acnes
P50075	DNA gyrase subunit B, novobiocin-sensitive	Streptomyces caeruleus
Q0VGM9	regulator of telomere elongation helicase 1	Mus musculus
Q6RUV5	ras-related C3 botulinum toxin substrate 1	Rattus norvegicus
Q96JK4	HHIP-like 1	Homo sapiens
Q8BYI9	tenascin R	Mus musculus
Q9BSU1	chromosome 16 open reading frame 70	Homo sapiens
Q6AAX3	Phosphate import ATP-binding protein pstB	Propionibacterium acnes
Q90XD2	agmatine ureohydrolase (agmatinase)	Gallus gallus
P54919	Delta-aminolevulinic acid dehydratase	Streptomyces coelicolor
Q9FJX2	60S ribosomal protein L26-2	Arabidopsis thaliana
P56282	polymerase (DNA directed), epsilon 2 (p59 subunit)	Homo sapiens
O14686	myeloid/lymphoid or mixed-lineage leukemia 2	Homo sapiens
Q9H6P5	taspase, threonine aspartase, 1	Homo sapiens
Q6AAB8	Enolase	Propionibacterium acnes
Q6ZT07	TBC1 domain family, member 9 (with GRAM domain)	Homo sapiens
P20911	cyclin-dependent kinase 7	Xenopus laevis
Q6A7K8	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Propionibacterium acnes
Q01989	jaguar	Drosophila melanogaster
Q3IYX6	UvrABC system protein C	Rhodobacter sphaeroides
Q8N2K1	ubiquitin-conjugating enzyme E2, J2 (UBC6 homolog, yeast)	Homo sapiens
Q21RH9	Glutamyl-tRNA(Gln) amidotransferase subunit A	Rhodoferax ferrireducens
Q6A7P7	Dihydrodipicolinate reductase	Propionibacterium acnes
Q8K394	phospholipase C-like 2	Mus musculus
Q17R06	RAB21, member RAS oncogene family; hypothetical LOC781001	Bos taurus
Q9UKK9	nudix (nucleoside diphosphate linked moiety X)-type motif 5	Homo sapiens
Q13976	protein kinase, cGMP-dependent, type I	Homo sapiens
Q17043	Aplysianin-A	Aplysia kurodai
O75369	filamin B, beta (actin binding protein 278)	Homo sapiens
A3KG59	peptidase M20 domain containing 2	Mus musculus
Q5ZKG3	DNA2 DNA replication helicase 2-like (yeast)	Gallus gallus
Q8IV61	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	Homo sapiens
Q9JJ31	cullin 5	Rattus norvegicus
Q9JJC8	non imprinted in Prader-Willi/Angelman syndrome 2 homolog (human)	Mus musculus
Q9K3U0	Ribose-phosphate pyrophosphokinase	Streptomyces coelicolor
A4WVL1	Elongation factor G	Rhodobacter sphaeroides
P91791	Peptidyl-prolyl cis-trans isomerase	Hemicentrotus pulcherrimus
P32242	orthodenticle homeobox 1	Homo sapiens
Q15147	phospholipase C, beta 4	Homo sapiens
Q8BM89	arylsulfatase J	Mus musculus
P42798	40S ribosomal protein S15a-1	Arabidopsis thaliana
Q5ZLR1	G protein-coupled receptor 177	Gallus gallus
Q9M5Z9	40S ribosomal protein S23	Euphorbia esula
P34710	UNCoordinated	Caenorhabditis elegans
Q9I8D1	myosin VI	Gallus gallus
O00462	mannosidase, beta A, lysosomal	Homo sapiens
Q9C9C5	60S ribosomal protein L6-3	Arabidopsis thaliana
A2VDS1	selenocysteine lyase	Bos taurus
Q60636	PR domain containing 1, with ZNF domain	Mus musculus
Q6DG22	adenosine deaminase	Danio rerio
O35490	betaine-homocysteine methyltransferase	Mus musculus
P42798	40S ribosomal protein S15a-1	Arabidopsis thaliana
Q8STF6	DYstrophin-like phenotype and CAPON related	Caenorhabditis elegans
P07902	galactose-1-phosphate uridylyltransferase	Homo sapiens
P51143	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	Bos taurus
A1WCP8	Leucyl-tRNA synthetase	Acidovorax sp. JS42
Q9VZI3	Fermitin 1	Drosophila melanogaster
P96218	MRA_3899; Rv3859c; MT3974	Mycobacterium tuberculosis
Q6A833	Protein translocase subunit secA	Propionibacterium acnes
Q9H5X1	family with sequence similarity 96, member A	Homo sapiens
Q6AAD7	PPA0526	Propionibacterium acnes
Q05688	insulin-like growth factor 1 receptor	Bos taurus
Q6A6C0	Phosphoribosylformylglycinamidine synthase 2	Propionibacterium acnes
A1B5P9	Polyribonucleotide nucleotidyltransferase	Paracoccus denitrificans
O60285	NUAK family, SNF1-like kinase, 1	Homo sapiens
P30122	carboxyl ester lipase (bile salt-stimulated lipase)	Bos taurus
A1SCM2	Noca_0007	Nocardioides sp. JS614
Q14643	inositol 1,4,5-triphosphate receptor, type 1	Homo sapiens
Q920F5	malonyl-CoA decarboxylase	Rattus norvegicus
Q803A7	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase	Danio rerio
Q6A7Z2	Ketol-acid reductoisomerase	Propionibacterium acnes
Q70PU1	Peptidoglycan-recognition protein SC2	Drosophila simulans
B2UCA2	Dihydrodipicolinate reductase	Ralstonia pickettii
Q9NTJ4	mannosidase, alpha, class 2C, member 1	Homo sapiens
Q8NBN7	retinol dehydrogenase 13 (all-trans/9-cis)	Homo sapiens
B9MH63	Dtpsy_3262	Diaphorobacter sp. TPSY
Q86TW2	aarF domain containing kinase 1	Homo sapiens
Q62388	ataxia telangiectasia mutated homolog (human)	Mus musculus
P51955	NIMA (never in mitosis gene a)-related kinase 2	Homo sapiens
Q9TTF0	nuclear receptor subfamily 2, group E, member 3	Bos taurus
Q6A917	Aspartate carbamoyltransferase	Propionibacterium acnes
Q8BMI4	Gen homolog 1, endonuclease (Drosophila)	Mus musculus
Q2KID2	nth endonuclease III-like 1 (E. coli)	Bos taurus
P06280	galactosidase, alpha	Homo sapiens
P28492	glutaminase 2 (liver, mitochondrial)	Rattus norvegicus
Q6A6L7	Elongation factor Tu	Propionibacterium acnes
Q8R0S2	IQ motif and Sec7 domain 1	Mus musculus
P27639	INitiation Factor	Caenorhabditis elegans
O06134	Pyruvate kinase	Mycobacterium tuberculosis
Q5RBU7	prolylcarboxypeptidase (angiotensinase C)	Pongo abelii
P19096	fatty acid synthase	Mus musculus
Q6A6H1	PPA1922	Propionibacterium acnes
Q6ZN57	zinc finger protein 2 homolog (mouse)	Homo sapiens
P29773	Protein C-ets-2	Lytechinus variegatus
C8YR32	lipoxygenase homology domains 1	Mus musculus
Q05733	Histidine decarboxylase	Drosophila melanogaster
Q9BQG2	nudix (nucleoside diphosphate linked moiety X)-type motif 12	Homo sapiens
Q6A666	Uncharacterized transporter PPA2034	Propionibacterium acnes
Q64336	T-box brain gene 1	Mus musculus
B0S733	UPF3 regulator of nonsense transcripts homolog A (yeast)	Danio rerio
Q6A661	Protein grpE	Propionibacterium acnes
Q6NVP8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	Xenopus (Silurana) tropicalis
P0C605	protein kinase, cGMP-dependent, type I	Mus musculus
O75818	ribonuclease P/MRP 40kDa subunit	Homo sapiens
P25857	Glyceraldehyde-3-phosphate dehydrogenase B, chloroplastic	Arabidopsis thaliana
Q6A8Q1	tRNA-specific 2-thiouridylase mnmA	Propionibacterium acnes
Q08E40	solute carrier family 39 (zinc transporter), member 12	Bos taurus
Q8K2Z2	PRP39 pre-mRNA processing factor 39 homolog (yeast)	Mus musculus
P10076	zinc finger protein 26	Mus musculus
Q5SW75	slingshot homolog 2 (Drosophila)	Mus musculus
Q8BUB4	WD repeat and FYVE domain containing 2	Mus musculus
P42285	superkiller viralicidic activity 2-like 2 (S. cerevisiae)	Homo sapiens
P23416	glycine receptor, alpha 2	Homo sapiens
P51166	neuronal cyclin-dependent kinase 5	Xenopus laevis
Q9Y6W6	dual specificity phosphatase 10	Homo sapiens
Q9VCU9	Dicer-1	Drosophila melanogaster
Q9UPM8	adaptor-related protein complex 4, epsilon 1 subunit	Homo sapiens
A1B017	DNA-directed RNA polymerase subunit beta'	Paracoccus denitrificans
Q12965	myosin IE	Homo sapiens
O06134	Pyruvate kinase	Mycobacterium tuberculosis
Q9ULC3	RAB23, member RAS oncogene family	Homo sapiens
Q6A780	Error-prone DNA polymerase	Propionibacterium acnes
Q9JUS4	UvrABC system protein A	Neisseria meningitidis
Q6ZNA1	zinc finger protein 836	Homo sapiens
Q3UVY5	RIKEN cDNA 1810048J11 gene	Mus musculus
Q2LZZ7	Dpse_GA21227	Drosophila pseudoobscura
P25310	Lysozyme M1	Streptomyces globisporus
Q920Q4	vacuolar protein sorting 16 (yeast)	Mus musculus
Q4JIJ3	5-methyltetrahydrofolate-homocysteine methyltransferase	Bos taurus
A1W9F9	Argininosuccinate synthase	Acidovorax sp. JS42
Q9Y646	plasma glutamate carboxypeptidase	Homo sapiens
Q9BR01	sulfotransferase family 4A, member 1	Homo sapiens
Q96T60	polynucleotide kinase 3'-phosphatase	Homo sapiens
Q9DCT2	similar to NADH dehydrogenase (ubiquinone) Fe-S protein 3; NADH dehydrogenase (ubiquinone) Fe-S protein 3; predicted gene 12251	Mus musculus
O89017	legumain	Mus musculus
Q14289	PTK2B protein tyrosine kinase 2 beta	Homo sapiens
Q5RF48	selenium binding protein 1	Pongo abelii
Q7YR43	discoidin domain receptor tyrosine kinase 1	Pan troglodytes
P41233	ATP-binding cassette, sub-family A (ABC1), member 1	Mus musculus
Q63355	myosin IC	Rattus norvegicus
Q9TT16	chloride channel 6	Oryctolagus cuniculus
Q9JHW4	eukaryotic elongation factor, selenocysteine-tRNA-specific	Mus musculus
P11482	Tubulin beta chain	Volvox carteri
O75477	ER lipid raft associated 1	Homo sapiens
O95954	formiminotransferase cyclodeaminase	Homo sapiens
P11481	Tubulin alpha-1/alpha-2 chain	Volvox carteri
Q8K2V6	importin 11	Mus musculus
A1WD26	Succinyl-CoA ligase [ADP-forming] subunit beta	Acidovorax sp. JS42
Q9JK84	par-6 partitioning defective 6 homolog gamma (C. elegans)	Mus musculus
Q9UL36	zinc finger protein 236	Homo sapiens
Q475S5	Tyrosyl-tRNA synthetase	Cupriavidus pinatubonensis
O42867	60S ribosomal protein L23	Schizosaccharomyces pombe
Q9LJN4	AT3G19620	Arabidopsis thaliana
P58375	60S ribosomal protein L30	Spodoptera frugiperda
Q6A7F4	Valyl-tRNA synthetase	Propionibacterium acnes
O53204	MT2552	Mycobacterium tuberculosis
Q9W4E2	rugose	Drosophila melanogaster
P19824	Phosphoribulokinase, chloroplastic; Phosphoribulokinase	Chlamydomonas reinhardtii
A1W2R3	30S ribosomal protein S3	Acidovorax sp. JS42
Q6A9B0	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	Propionibacterium acnes
P49747	cartilage oligomeric matrix protein	Homo sapiens
Q9DBV3	DEAH (Asp-Glu-Ala-His) box polypeptide 34; similar to Probable ATP-dependent RNA helicase DHX34 (DEAH box protein 34); hypothetical protein LOC100047143	Mus musculus
Q5R4L5	5'-3' exoribonuclease 2	Pongo abelii
P58421	frizzled-5	Xenopus laevis
P72235	Trehalose synthase	Pimelobacter sp.
Q3LXA3	dihydroxyacetone kinase 2 homolog (S. cerevisiae)	Homo sapiens
Q6DFQ5	MGC79660 protein	Xenopus (Silurana) tropicalis
P15192	Chlorophyll a-b binding protein type 2 member 2	Pinus sylvestris
Q9NU22	MDN1, midasin homolog (yeast)	Homo sapiens
O42867	60S ribosomal protein L23	Schizosaccharomyces pombe
P16638	ATP citrate lyase	Rattus norvegicus
P27517	Chlorophyll a-b binding protein of LHCII type I, chloroplastic	Dunaliella tertiolecta
Q8XV50	UPF0190 protein RSc2981	Ralstonia solanacearum
P27105	stomatin	Homo sapiens
Q9P6J4	Uncharacterized protein C1683.06c	Schizosaccharomyces pombe
P30793	GTP cyclohydrolase 1	Homo sapiens
Q8NR12	Ribose import ATP-binding protein rbsA	Corynebacterium glutamicum
Q7L3S4	zinc finger protein 771	Homo sapiens
P97524	solute carrier family 27 (fatty acid transporter), member 2	Rattus norvegicus
A9KIW5	Cphy_0577	Clostridium phytofermentans
Q10QH1	Probable serine acetyltransferase 4	Oryza sativa
Q6A6N1	50S ribosomal protein L22	Propionibacterium acnes
Q95JD5	sulfotransferase family, cytosolic, 1B, member 1	Canis lupus
P91620	still life	Drosophila melanogaster
O29781	2-oxoglutarate synthase subunit korA	Archaeoglobus fulgidus
Q99JY8	phosphatidic acid phosphatase type 2B	Mus musculus
Q5U316	RAB35, member RAS oncogene family	Rattus norvegicus
B5X3C1	Galactocerebrosidase	Salmo salar
Q8TC21	zinc finger protein 596	Homo sapiens
Q2HJH7	mediator of cell motility 1	Bos taurus
Q5F452	myotubularin related protein 8	Gallus gallus
P27338	monoamine oxidase B	Homo sapiens
Q8K078	solute carrier organic anion transporter family, member 4a1	Mus musculus
P51644	hypothetical protein LOC398551	Xenopus laevis
Q17766	FOLate Transporter family	Caenorhabditis elegans
Q8BHD0	RAB39, member RAS oncogene family	Mus musculus
Q9WTS2	fucosyltransferase 8	Mus musculus
B9MEU8	Dtpsy_0956	Diaphorobacter sp. TPSY
Q62073	mitogen-activated protein kinase kinase kinase 7; predicted gene 8188	Mus musculus
Q9CUS9	signal peptide peptidase 3	Mus musculus
Q8CHR6	dihydropyrimidine dehydrogenase	Mus musculus
Q9Y4D1	dishevelled associated activator of morphogenesis 1	Homo sapiens
Q8IRC7	Arrowhead	Drosophila melanogaster
P20865	Chlorophyll a-b binding protein of LHCII type I, chloroplastic	Dunaliella salina
Q1JPJ2	X-prolyl aminopeptidase (aminopeptidase P) 1, soluble	Bos taurus
P49614	hexosaminidase B (beta polypeptide)	Felis catus
Q6A9X0	Lipoyl synthase	Propionibacterium acnes
Q3UHH8	glycosyltransferase 8 domain containing 3	Mus musculus
P80457	xanthine dehydrogenase	Bos taurus
Q15125	emopamil binding protein (sterol isomerase)	Homo sapiens
Q6A6V2	Probable O-sialoglycoprotein endopeptidase	Propionibacterium acnes
P46940	IQ motif containing GTPase activating protein 1	Homo sapiens
Q32Q86	cryptochrome 1 (photolyase-like)	Rattus norvegicus
Q2XWK0	synaptic vesicle 2-related protein	Xenopus laevis
Q5ZML9	SET domain containing 3	Gallus gallus
P48612	pelota	Drosophila melanogaster
Q9VDY1	Putative DNA helicase Ino80	Drosophila melanogaster
Q20CR4	dual serine/threonine and tyrosine protein kinase	Macaca mulatta
A2RT91	ankyrin and armadillo repeat containing	Mus musculus
Q99L04	dehydrogenase/reductase (SDR family) member 1	Mus musculus
Q03412	UNCoordinated	Caenorhabditis elegans
Q9NJ15	Proprotein convertase subtilisin/kexin type 5	Branchiostoma californiense
Q91ZY8	tripartite motif-containing 9	Rattus norvegicus
Q16YG0	Cdc42 homolog	Aedes aegypti
Q2M389	KIAA1033	Homo sapiens
Q13702	receptor-associated protein of the synapse	Homo sapiens
Q07075	glutamyl aminopeptidase (aminopeptidase A)	Homo sapiens
P23228	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	Gallus gallus
Q6A9B2	GTP-binding protein lepA	Propionibacterium acnes
P76403	Uncharacterized protease yegQ	Escherichia coli
Q504A5	zgc:109981	Danio rerio
Q149N8	SNF2 histone linker PHD RING helicase	Homo sapiens
Q28C22	2-oxoglutarate and iron-dependent oxygenase domain containing 2	Xenopus (Silurana) tropicalis
Q9TS33	ryanodine receptor	Oryctolagus cuniculus
Q5R941	FK506 binding protein 14, 22 kDa	Pongo abelii
Q21XQ9	Porphobilinogen deaminase	Rhodoferax ferrireducens
P00239	Ferredoxin-1	Dunaliella salina
Q10341	Uncharacterized protein C106.17c	Schizosaccharomyces pombe
P40812	L-asparagine permease	Salmonella enterica
Q8VCC1	hydroxyprostaglandin dehydrogenase 15 (NAD)	Mus musculus
Q6A9W7	Octanoyltransferase	Propionibacterium acnes
A7RNG8	Coiled-coil domain-containing protein 22 homolog	Nematostella vectensis
Q9VHA0	Sex comb on midleg	Drosophila melanogaster
P15106	Glutamine synthetase	Streptomyces coelicolor
Q8R3D1	TBC1 domain family, member 13	Mus musculus
Q90XF2	protein kinase C, iota	Danio rerio
B9MEQ7	Dtpsy_0915	Diaphorobacter sp. TPSY
Q963B7	60S ribosomal protein L9	Spodoptera frugiperda
Q13637	RAB32, member RAS oncogene family	Homo sapiens
O14522	protein tyrosine phosphatase, receptor type, T	Homo sapiens
Q62730	hydroxysteroid (17-beta) dehydrogenase 2	Rattus norvegicus
Q5F361	TBC domain-containing protein kinase-like	Gallus gallus
B2RYH9	hippocampus abundant transcript-like 1	Rattus norvegicus
B9MAU5	Dtpsy_2091	Diaphorobacter sp. TPSY
Q6ZMW2	zinc finger protein 782	Homo sapiens
Q6A8C5	ATP synthase subunit alpha	Propionibacterium acnes
Q9Y345	solute carrier family 6 (neurotransmitter transporter, glycine), member 5	Homo sapiens
P64326	Transcription-repair-coupling factor	Mycobacterium tuberculosis
P22003	bone morphogenetic protein 5	Homo sapiens
O53204	Rv2477c	Mycobacterium tuberculosis
O55055	tRNA aspartic acid methyltransferase 1	Mus musculus
Q6A6M1	Glutamyl-tRNA synthetase	Propionibacterium acnes
Q28056	aspartate beta-hydroxylase	Bos taurus
Q8NE62	choline dehydrogenase	Homo sapiens
P08473	membrane metallo-endopeptidase	Homo sapiens
P27105	phosphatidylethanolamine binding protein 1	Homo sapiens
Q5PU49	protein kinase C, delta	Canis lupus
Q9UA35	Solute carrier family 28 member 3	Eptatretus stoutii
P61082	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast)	Mus musculus
P62752	similar to 60S ribosomal protein L23a; hypothetical protein LOC679285; ribosomal protein L23a	Rattus norvegicus
Q7PPU9	Band 7 protein AGAP004871	Anopheles gambiae
P50429	arylsulfatase B	Mus musculus
Q4V8D1	cytochrome P450, family 2, subfamily u, polypeptide 1	Rattus norvegicus
Q9NYT6	zinc finger protein 226	Homo sapiens
Q9UGM6	tryptophanyl tRNA synthetase 2, mitochondrial	Homo sapiens
P37624	Uncharacterized ABC transporter ATP-binding protein yhiH	Escherichia coli
P16435	P450 (cytochrome) oxidoreductase	Homo sapiens
Q8N442	GUF1 GTPase homolog (S. cerevisiae)	Homo sapiens
P20241	Neuroglian	Drosophila melanogaster
Q9YGN6	single-strand selective monofunctional uracil DNA glycosylase	Xenopus laevis
A1W9V0	Ajs_2884	Acidovorax sp. JS42
Q8IUC8	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	Homo sapiens
Q8CFK2	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)	Mus musculus
Q9Z254	GIPC PDZ domain containing family, member 1	Rattus norvegicus
Q96RR1	chromosome 10 open reading frame 2	Homo sapiens
P61087	ubiquitin-conjugating enzyme E2K (UBC1 homolog, yeast)	Mus musculus
Q9MZF4	dual oxidase 1	Canis lupus
Q6A8I8	Alanyl-tRNA synthetase	Propionibacterium acnes
Q6A9R8	Glycine dehydrogenase [decarboxylating]	Propionibacterium acnes
P36366	flavin containing monooxygenase 2	Cavia porcellus
Q3B8J8	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	Xenopus laevis
P18106	Fps oncogene analog	Drosophila melanogaster
O75191	xylulokinase homolog (H. influenzae)	Homo sapiens
Q6A6G5	NADH-quinone oxidoreductase subunit H	Propionibacterium acnes
P15848	arylsulfatase B	Homo sapiens
Q83CY8	Putative peroxiredoxin bcp	Coxiella burnetii
Q6A8H3	S-adenosylmethionine synthetase	Propionibacterium acnes
Q9CXR1	dehydrogenase/reductase (SDR family) member 7	Mus musculus
Q8NR12	Ribose import ATP-binding protein rbsA	Corynebacterium glutamicum
	Q27459		
	P11653		
	P36189		
	Q9ZRJ4		
	P53003		
	O75417		
	E9PZJ8		
	O54694		
	P0CH07		
	P50215		
	Q9BH05		
	P27465		
	Q4R4P6		
	Q42690		
	Q06734		
	P42217		
	C5FP68		
	P0CZ01		
	P34727		
	Q9GKU5		
	Q03961		
	Q4R335		
	Q4R3J0		
	P29271		
	P0CY99		
	Q9GRC0		
	Q54468		
	Q655S1		
	Q4AEH5		
	Q92038		
	P42218		
	D3ZQG6		
	Q5XM24		
	B2RYN7		
	O18638		
	Q28811		
	O93308		
	P37836		
	P0CE65		
	P08548		
	Q6VFT5		
	F1M7Y5		
	O52213		
	Q55FI1		
	P0CK99		
	Q5Q0U5		
	Q28GD4		
	P33951		
	P86221		
	O93479		
	Q55E31		
	P14851		
	Q9NFN6		
	P83863		
	P16100		
	Q9M571		
	P28724		
	P0CZ15		
	Q9XY92		
	O16099		
	P55202		
	Q60HE9		
	D7GIS1		
	P11369		
	Q28452		
	P01742		
